Query_Id,Literal,Doc_Id,Rank,Score,System Name,Recall,Precision
1,Q0,CACM-1605,1,26.018896013101877,BM25,0.2,1.0
1,Q0,CACM-1410,2,24.824244617252226,BM25,0.4,1.0
1,Q0,CACM-1506,3,24.707442346426035,BM25,0.4,0.6666666666666666
1,Q0,CACM-1519,4,24.529412421790273,BM25,0.4,0.5
1,Q0,CACM-1033,5,23.294718348986212,BM25,0.4,0.4
1,Q0,CACM-0585,6,21.958490148739436,BM25,0.4,0.3333333333333333
1,Q0,CACM-1938,7,21.874721795292803,BM25,0.4,0.2857142857142857
1,Q0,CACM-2947,8,21.76821615170303,BM25,0.4,0.25
1,Q0,CACM-1523,9,21.47850668655099,BM25,0.4,0.2222222222222222
1,Q0,CACM-1591,10,21.232987622887244,BM25,0.4,0.2
1,Q0,CACM-1544,11,21.145556417353827,BM25,0.4,0.18181818181818182
1,Q0,CACM-2054,12,20.67116066300612,BM25,0.4,0.16666666666666666
1,Q0,CACM-2371,13,20.610063856524608,BM25,0.4,0.15384615384615385
1,Q0,CACM-2379,14,20.266254544782186,BM25,0.4,0.14285714285714285
1,Q0,CACM-1264,15,20.12228842783797,BM25,0.4,0.13333333333333333
1,Q0,CACM-2380,16,20.064302575521378,BM25,0.4,0.125
1,Q0,CACM-1161,17,19.70089844717704,BM25,0.4,0.11764705882352941
1,Q0,CACM-0637,18,19.367209654899007,BM25,0.4,0.1111111111111111
1,Q0,CACM-1827,19,19.086751567590145,BM25,0.4,0.10526315789473684
1,Q0,CACM-1226,20,19.044521563645176,BM25,0.4,0.1
1,Q0,CACM-2535,21,18.97640797003167,BM25,0.4,0.09523809523809523
1,Q0,CACM-0971,22,18.132798900077866,BM25,0.4,0.09090909090909091
1,Q0,CACM-1885,23,18.091199747840356,BM25,0.4,0.08695652173913043
1,Q0,CACM-2950,24,17.967138659686746,BM25,0.4,0.08333333333333333
1,Q0,CACM-3127,25,17.914489348042025,BM25,0.4,0.08
1,Q0,CACM-3025,26,17.88004934178581,BM25,0.4,0.07692307692307693
1,Q0,CACM-2357,27,17.85268244180405,BM25,0.4,0.07407407407407407
1,Q0,CACM-1680,28,17.84009885553298,BM25,0.4,0.07142857142857142
1,Q0,CACM-2288,29,17.687627385214043,BM25,0.4,0.06896551724137931
1,Q0,CACM-2319,30,17.627883448112595,BM25,0.4,0.06666666666666667
1,Q0,CACM-2560,31,17.5784181924244,BM25,0.4,0.06451612903225806
1,Q0,CACM-1341,32,17.551555153894626,BM25,0.4,0.0625
1,Q0,CACM-1173,33,17.46791957731378,BM25,0.4,0.06060606060606061
1,Q0,CACM-2188,34,17.38940110179113,BM25,0.4,0.058823529411764705
1,Q0,CACM-1657,35,17.27650027787885,BM25,0.4,0.05714285714285714
1,Q0,CACM-1844,36,17.273660203315455,BM25,0.4,0.05555555555555555
1,Q0,CACM-2946,37,17.249394212366287,BM25,0.4,0.05405405405405406
1,Q0,CACM-2764,38,17.196701961215904,BM25,0.4,0.05263157894736842
1,Q0,CACM-2003,39,17.161324207882313,BM25,0.4,0.05128205128205128
1,Q0,CACM-1750,40,17.050013168901074,BM25,0.4,0.05
1,Q0,CACM-1805,41,17.04148878023551,BM25,0.4,0.04878048780487805
1,Q0,CACM-2201,42,17.017322037522984,BM25,0.4,0.047619047619047616
1,Q0,CACM-1315,43,16.93078467193218,BM25,0.4,0.046511627906976744
1,Q0,CACM-1647,44,16.70242925802782,BM25,0.4,0.045454545454545456
1,Q0,CACM-2153,45,16.580109316656888,BM25,0.4,0.044444444444444446
1,Q0,CACM-0414,46,16.53745434065508,BM25,0.4,0.043478260869565216
1,Q0,CACM-2951,47,16.441481512160376,BM25,0.4,0.0425531914893617
1,Q0,CACM-2621,48,16.4287861657412,BM25,0.4,0.041666666666666664
1,Q0,CACM-0972,49,16.35695062020924,BM25,0.4,0.04081632653061224
1,Q0,CACM-1304,50,16.258570011080693,BM25,0.4,0.04
1,Q0,CACM-1195,51,16.244081805400064,BM25,0.4,0.0392156862745098
1,Q0,CACM-1571,52,16.099720327855614,BM25,0.4,0.038461538461538464
1,Q0,CACM-0202,53,16.073462152968094,BM25,0.4,0.03773584905660377
1,Q0,CACM-2398,54,16.052954022724325,BM25,0.4,0.037037037037037035
1,Q0,CACM-2542,55,16.018887880836527,BM25,0.4,0.03636363636363636
1,Q0,CACM-0698,56,15.962837844208158,BM25,0.4,0.03571428571428571
1,Q0,CACM-2541,57,15.953015637328031,BM25,0.4,0.03508771929824561
